run_id,mode,round,client_id,train_batches,train_loss,val_batches,val_auroc,val_auprc,val_f1,activation_bytes,gradient_bytes,train_duration_sec,val_duration_sec
20260701_010413_seed42,option_b,1,0,200,1.135361199080944,113,0.9490232620006821,0.8302229587048406,0.4051075739023964,1638400,1638400,4.187375999998039,0.9478195999981835
20260701_010413_seed42,option_b,1,1,200,0.7170575824379921,74,0.9636142517306819,0.8556656843242019,0.5841526894158473,1638400,1638400,4.01889250000022,0.6810151999998197
20260701_010413_seed42,option_b,1,2,200,0.6767341761291027,103,0.9743377483443708,0.8348928017789053,0.5880721220527045,1638400,1638400,4.033846100002847,0.8790565999988758
20260701_010413_seed42,option_b,2,0,200,1.0693540692329406,113,0.7939895767445085,0.39097521743570995,0.45213094502779494,1638400,1638400,4.074693599999591,1.2385441000005812
20260701_010413_seed42,option_b,2,1,200,0.9293295532464981,74,0.8151244219923556,0.36154295013231874,0.41916167664670656,1638400,1638400,3.915842000002158,0.6358152000029804
20260701_010413_seed42,option_b,2,2,200,0.7344887048006058,103,0.8296527089742921,0.301748344811442,0.38910505836575876,1638400,1638400,3.793154000002687,1.0191774999984773
20260701_010413_seed42,option_b,3,0,200,1.1113119220733643,113,0.7881420257001311,0.3882278514743263,0.4270650263620387,1638400,1638400,4.003983999999036,0.9711704000001191
20260701_010413_seed42,option_b,3,1,200,0.941928733587265,74,0.8112405224565438,0.3393918732587757,0.41444270015698587,1638400,1638400,3.8014691000025778,0.566397099999449
20260701_010413_seed42,option_b,3,2,200,0.7426208390295506,103,0.8466909868882283,0.2943608913210502,0.36459430979978924,1638400,1638400,3.7776087000020198,0.8953627000009874
20260701_010413_seed42,option_b,4,0,200,1.0238718822598458,113,0.8372959675331015,0.4674196864220927,0.5021533161068045,1638400,1638400,3.7401855000025535,1.0196450000003097
20260701_010413_seed42,option_b,4,1,200,0.8794990518689155,74,0.8554339400743057,0.4229744802934972,0.4778481012658228,1638400,1638400,3.8028335999988485,0.5869606000014755
20260701_010413_seed42,option_b,4,2,200,0.6715523104369641,103,0.8750488866871773,0.3727176216826716,0.4435946462715105,1638400,1638400,3.881713300001138,0.81774249999944
20260701_010413_seed42,option_b,5,0,200,0.9713063606619835,113,0.8578186444107663,0.5321546069600553,0.5568137446310035,1638400,1638400,3.820844499998202,0.9359705000024405
20260701_010413_seed42,option_b,5,1,200,0.8074616551399231,74,0.8815781501973468,0.49731294610609916,0.5229226361031518,1638400,1638400,3.880269599998428,0.5615749000025971
20260701_010413_seed42,option_b,5,2,200,0.6191321654617786,103,0.8909618654870128,0.4690113771403726,0.49646643109540634,1638400,1638400,3.7938014999999723,0.8626211000009789
20260701_010413_seed42,option_b,6,0,200,0.9244377526640892,113,0.8704101804329768,0.5942658157946763,0.5761181780878128,1638400,1638400,3.727388499999506,0.9875112999980047
20260701_010413_seed42,option_b,6,1,200,0.7496734043955803,74,0.9020857277773324,0.5887681434414219,0.5501432664756447,1638400,1638400,3.776871400001255,0.5522180000007211
20260701_010413_seed42,option_b,6,2,200,0.6242471046745777,103,0.9021484069458205,0.5609188293417088,0.5291479820627802,1638400,1638400,3.7563305999974546,0.8907388999978139
20260701_010413_seed42,option_b,7,0,200,0.8928987172245979,113,0.8790374549483578,0.6388970236391341,0.5952667468912957,1638400,1638400,3.6688546000004862,0.9261837000012747
20260701_010413_seed42,option_b,7,1,200,0.7348898451030255,74,0.9120515150705191,0.6399626224282893,0.5887640449438202,1638400,1638400,3.6990673000000243,0.6565808000013931
20260701_010413_seed42,option_b,7,2,200,0.5776278746128082,103,0.9083128371370797,0.6261273586088008,0.5298126064735945,1638400,1638400,4.0285358000001,0.8435836999997264
20260701_010413_seed42,option_b,8,0,200,0.8742006200551987,113,0.8858036562052048,0.6792062833247127,0.6088328075709779,1638400,1638400,3.6903301999991527,0.917070599996805
20260701_010413_seed42,option_b,8,1,200,0.6848594754934311,74,0.9217936724311515,0.6790657070756131,0.5917496443812233,1638400,1638400,3.761224800000491,0.6613123999995878
20260701_010413_seed42,option_b,8,2,200,0.5711978171765805,103,0.9127216920732589,0.6606540078089089,0.5530776092774309,1638400,1638400,3.9718017000013788,0.8775313000005553
20260701_010413_seed42,option_b,9,0,200,0.8499827198684216,113,0.8897118817471336,0.6924471538545127,0.6090283091048202,1638400,1638400,3.7393087999989802,0.9943136000001687
20260701_010413_seed42,option_b,9,1,200,0.6696093778312207,74,0.9282918593358814,0.7042940459982914,0.6245297215951844,1638400,1638400,3.824429500000406,0.581234699999186
20260701_010413_seed42,option_b,9,2,200,0.5521501834690571,103,0.9151953584444329,0.6742245322344941,0.5701275045537341,1638400,1638400,3.8669116999990365,0.8930154999980005
20260701_010413_seed42,option_b,10,0,200,0.8347231298685074,113,0.8930221073201932,0.7038999582692158,0.6186209583171016,1638400,1638400,3.7760175000003073,1.0573528000022634
20260701_010413_seed42,option_b,10,1,200,0.6450928343832493,74,0.9318374183661651,0.7185635799871413,0.6167146974063401,1638400,1638400,3.962887400000909,0.6949132000008831
20260701_010413_seed42,option_b,10,2,200,0.5245718498528004,103,0.917713928143088,0.6869808406366278,0.5740570377184913,1638400,1638400,3.8115097000008973,0.8030590999987908
